,Non_Reg_Coefficient,Ridge_Coefficient,Lasso_Coefficient,Elastic_Net_Coefficient
OverallCond_8,0.18362272321851592,0.07562002857309233,0.15103536769057,0.0
MSSubClass_30,-0.09435423257330676,-0.07358956666416913,-0.0854607743599287,-0.0
MSZoning_1,0.3197377417523045,0.0552097143392397,0.23626908094850954,0.0
BsmtCond_1,0.05568915750329595,0.04056093424754581,0.04870972590362043,0.0
LandSlope_1,0.06936886372198126,0.022834423548725093,0.0384220807244112,0.0
HouseStyle_7,0.06309229333097142,0.02259199264882313,0.02504792834843331,0.0
MSSubClass_160,-0.058995300070581506,-0.042225372883820916,-0.047303281361730704,-0.0
Exterior1st_5,-0.26082006050549533,-0.020247320382992595,-0.061788908645170525,-0.0
MSSubClass_70,0.033382975244903086,0.03585616030464149,0.012298816394555316,0.0
Exterior2nd_5,0.221253508984281,0.009588766264214026,0.07894251592886384,-0.0
Neighborhood_20,-0.04410452909108183,-0.010587203668036007,-0.0,0.0
Neighborhood_3,-0.015420175788060162,0.014721986700079832,0.02072389931946203,-0.0
OverallCond_4,0.058644445920261745,-0.042961156201300796,0.01471936686218133,-0.0
BsmtFinType2_4,-0.019245522989889106,-0.003037002547763124,-0.0006761606125694512,-0.0
GarageQual_1,-0.025355619572180025,-0.03305233821732809,-0.04078648195532863,-0.0
MSSubClass_90,-0.04243365828287581,-0.03361412018150526,-0.06804989557299292,-0.0
BldgType_2,-0.042433658282876506,-0.03361412018150524,-3.2735530084079335e-17,-0.0
Neighborhood_6,0.06792885088580924,0.08566259390926781,0.096283448548619,0.0
Exterior1st_3,0.011069893418553807,0.05069349011357517,0.041550545191853694,0.0
LandContour_1,0.06037739745018344,0.05286779451454201,0.05891093499082546,0.0
Neighborhood_11,-0.07591730272460033,-0.01757040131068064,-0.023281010419957015,-0.0
HeatingQC_1,-0.020923512156826748,-0.019969423765786757,-0.008474113671380457,-0.0
BsmtFinType2_3,-0.03261650901796089,-0.01343948068912448,-0.010029436432497109,-0.0
TotRmsAbvGrd_10,0.041640387158589934,0.017701018320824966,0.0,-0.0
OverallQual_9,0.2576761226871294,0.12294722381795169,0.25043704329736555,0.0
BldgType_3,-0.008450436144487053,-0.041999143306169696,-0.04602912969271078,-0.0
Neighborhood_15,-0.0011994737747453095,0.009944691507528887,0.02820753666171292,0.0
LotShape_1,0.038140325332591755,0.028291681584695975,0.03287311569464932,0.0
BsmtQual_1,-0.016131106951135506,-0.041293959819348726,-0.040916233654793854,-0.0
KitchenQual_1,-0.05686300407263083,-0.04075769447746695,-0.03156478874096484,-0.0
Neighborhood_23,-0.019151396471114267,0.007925959826918237,0.015508507242543339,0.0
Exterior2nd_15,-0.06223147171074505,-0.009452383381225185,-0.009773849385198622,0.0
HouseStyle_6,0.05722499551184156,0.009639656710165655,0.004285822809545362,-0.0
Neighborhood_9,-0.03795422392228148,-0.04807640177541712,-0.007405044470763863,-0.0
LandContour_2,-0.004322922678645784,-0.006635897645411828,-0.0,-0.0
Functional_3,0.005338633242474172,0.003906431059907993,0.0,-0.0
FullBath_3,0.047502318448521264,0.036729000363388324,0.052385615760651615,-0.0
BsmtFinType2_1,-0.082998255483853,-0.0351481132245148,-0.04917242581682067,-0.0
BldgType_1,-0.04916348518135471,-0.007010782135540066,-0.0,-0.0
Functional_2,0.025222533446387432,0.021123970131605132,0.024509404551395664,-0.0
PavedDrive_1,-0.03605489045021868,-0.013288643464759706,-0.025730376220787415,-0.0
TotRmsAbvGrd_11,-0.02103052886313041,-0.06367891597329789,-0.1012585436939111,-0.0
MSSubClass_190,0.029541978728578618,-0.015418856219477143,-0.03353492990392346,-0.0
ExterCond_1,-0.07625839162144549,-0.02537908398503329,-0.006676429246987406,-0.0
Neighborhood_4,-0.003256838647740073,0.03075347435322743,0.04390158018537487,0.0
Electrical_1,-0.02255892329285708,-0.00772887094726586,-0.007017971986715317,-0.0
Exterior2nd_12,-0.023324029865913566,-0.019733842589689448,-0.00268573071764602,-0.0
Exterior1st_14,-0.008468654876792134,0.013772135257523136,0.0,0.0
Condition1_6,0.05467443157732136,0.02322663183888802,0.04757834032950303,0.0
Exterior2nd_3,-0.038061758230274224,0.0030903969370235417,0.0,0.0
Neighborhood_18,-0.039581908574116226,-0.021206051379366004,-0.013158665020890078,-0.0
Neighborhood_22,0.10528073267801319,0.07032840731629762,0.11407089522882827,0.0
Exterior1st_11,-0.09149874272863756,-0.025384121702502295,-0.04489952074970613,-0.0
Foundation_3,0.0323072076638234,0.015062337441172458,0.01828826639211826,0.0
3SsnPorch,0.00010229141511070884,0.00016482396089227854,0.00012851135930532862,0.000640294617103687
LowQualFinSF,-0.0003712778951496243,-0.0004181623523160851,-0.0004121037839241901,-0.000938937014109819
OverallCond_9,0.2186835687760783,0.08105842256347986,0.1920423189034367,0.0
GarageType_2,0.06124840043753389,-0.02203752637728432,-0.0,-0.0
MSSubClass_85,-0.02100119826823239,0.007263659690891913,0.0,0.0
SaleCondition_3,-0.02621833741092924,-0.020955946372983918,-0.024004179940672086,-0.0
Condition1_4,0.06868536751071855,-0.014074086431507055,0.03209464463510674,-0.0
OverallQual_10,0.1789029818150757,0.005211365246814098,0.1267687643074254,-0.0
Heating_2,0.035646176075967526,0.01474511689672541,0.057545749163605706,-0.0
Neighborhood_10,-0.24896713528218856,-0.10067048994332564,-0.20981980304439093,-0.0
BsmtFullBath_2,0.03813424218662405,-0.0062321705919452025,0.0050144016742915305,-0.0
Neighborhood_2,-0.07114486624732544,-0.006288543906452899,-0.012483446364844384,-0.0
GarageQual_2,0.08228643344995555,0.039128511631876514,0.05234894005900559,0.0
MSZoning_2,0.3164356610553889,0.03585957287481037,0.24438218893193275,-0.0
Functional_4,-0.05563890467177158,-0.020373788106520373,-0.05393095704908188,-0.0
ExterQual_1,0.03321138849822398,-0.047161009540561225,-0.017062231344805147,-0.0
HouseStyle_1,0.19138419331416934,0.008476959993454087,0.0,0.0
LandSlope_2,0.10697169701762164,0.009915205679235706,0.03903060825314513,-0.0
MSSubClass_45,-0.1729839953373998,-0.005105107005916543,-0.012637180905410066,0.0
SaleCondition_2,0.13764410690610038,0.030970080408313328,0.09924529829779828,-0.0
HouseStyle_4,0.027661858525733506,-0.0025654055110507575,-0.0,-0.0
RoofStyle_2,-0.17515663489955777,-0.009207659594516271,-0.04060132290579019,-0.0
Neighborhood_24,-0.006090034345250014,0.024966697430244843,0.03188976212858164,0.0
Condition1_5,0.00933963727106925,-0.014003525266052698,-0.001685323226123472,-0.0
MSSubClass_180,-0.040291637350480324,-0.021714812092248893,-0.0,-0.0
Exterior2nd_7,0.016280955870008655,0.019271731694417753,0.0368898753340637,-0.0
LotShape_2,-0.03692152743510579,-0.03751651518255594,-0.05196655965510418,-0.0
GarageType_4,0.06957113867722582,-0.018036628639781907,-0.0,-0.0
SaleType_3,0.18445349737494848,0.021383997623203106,0.14475257522191515,-0.0
Neighborhood_13,-0.06725786511929127,0.004244775555050684,-0.0,-0.0
Condition1_3,0.10534943443442311,0.023526996489490946,0.07953731588997992,0.0
HouseStyle_3,-0.06945434048186783,-0.01736081745840298,-0.016301128468765164,-0.0
Exterior2nd_2,0.02558858090346625,0.003143306371137426,0.0137756279426585,-0.0
Heating_3,0.07476382513703671,0.00998339932509116,0.02235761435370135,-0.0
Condition2_1,0.27451646072159724,0.01001735107296543,0.02306474200340106,-0.0
RoofMatl_7,0.5515267067907357,0.031077677722695915,0.23010292676437205,0.0
Foundation_4,0.07443452802554212,0.015146291815255465,0.04498077752094466,0.0
Exterior2nd_11,0.021599606740589805,0.0029667007024977827,0.0,-0.0
Functional_1,-0.16284031247083314,-0.047550161977295224,-0.14027760094309663,-0.0
SaleType_5,-0.05757862110561578,-0.004640953025317332,-0.0,0.0
RoofMatl_6,0.27018927172996027,0.00021636718858899752,0.0823501731631664,-0.0
Condition1_8,0.07868494000352987,0.019954372923772837,0.05277215921467287,-0.0
SaleType_1,0.07497912083796876,0.017637294499245903,0.02765046279151724,0.0
Heating_5,0.007490196058587021,-0.002882942306495821,0.0,-0.0
MSSubClass_40,-0.12397805170803218,-0.00797873697193903,-0.02032510941152124,-0.0
SaleCondition_1,0.11984399503104969,0.021532047515081514,0.05225969224138926,-0.0
LotConfig_3,-0.10516224453718387,-0.004315568294422591,-0.0,0.0
Electrical_2,-0.029019130476096847,0.004708720167535629,0.0,-0.0
GarageQual_3,-0.10362412212342763,-0.013329813359408292,-0.0,-0.0
Exterior2nd_1,-0.13476581885660424,0.0024182036968513378,-0.0,0.0
SaleType_7,0.09089168099498755,0.011575083143909865,0.0409547111048481,-0.0
Heating_4,-0.10276583604199407,-0.012687185141793934,-0.02538526968494536,-0.0
RoofStyle_5,0.05439420241205799,-0.0014799676107337845,-0.0,-0.0
Exterior1st_10,0.1076162458082833,-0.006592833581606841,0.0,-0.0
Neighborhood_1,-0.08505942168955956,-0.0018395423691925802,-0.0,-0.0
Condition2_4,-0.23639905050147078,-0.0462469876287484,-0.2961359589148829,-0.0
Exterior1st_2,0.22119148670943273,-0.008386084924117049,0.0,-0.0
BsmtCond_2,-0.18805719032375773,-0.025695554380863635,-0.05825404157456879,-0.0
SaleType_2,0.10890725369373669,0.0172160579389728,0.05607414101661519,0.0
Condition1_7,0.02758115085283167,-0.004365371715243004,0.0,-0.0
Condition2_7,0.19649647267971324,0.005327722825218995,0.0,-0.0
ExterCond_3,-0.11399396892751239,-0.023577368786183835,-0.005267026137715602,-0.0
RoofMatl_2,0.41710785779196374,0.023089726378780647,0.20283229209957568,0.0
HeatingQC_3,-0.07216342283489528,-0.00020939435340841287,-0.0,-0.0
Electrical_3,0.27248569754034496,-0.009172276219730184,-0.0,-0.0
Condition2_3,0.3312683548847045,0.02546661497759512,0.1301830039118486,-0.0
Exterior2nd_9,-0.17553375713591207,-0.0048311080976810045,-0.0,0.0
Functional_5,0.0,0.0,0.0,0.0
Utilities_1,-0.15725790088979305,-0.010022504395190722,-0.011243631029856722,-0.0
Condition2_6,0.17484213575682203,-0.004029345470505591,-0.0,-0.0
Exterior1st_1,0.0,0.0,0.0,0.0
Exterior1st_7,0.0,0.0,0.0,0.0
RoofMatl_4,0.47331236957949235,0.003652324003814875,0.09958960477483575,-0.0
Exterior1st_4,-0.09244549624934158,-0.011295070393756313,-0.012933652183857938,-0.0
Exterior2nd_4,-0.09244549624934181,-0.011295070393756318,-0.0,-0.0
